sdz2021_code,statistic,value
N21000378,Income Domain (Rank),287
N21000378,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,524
N21000378,Employment Domain (18-64 years) (Rank),415
N21000378,Proportion of the working age population who are employment deprived,397
N21000378,Health Deprivation and Disability Domain (Rank),522
N21000378,"Education, Skills and Training Domain (Rank)",430
N21000378,Access to Services Domain (Rank),203
N21000379,Multiple Deprivation Measure (Rank),261
N21000379,Income Domain (Rank),106
N21000379,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,728
N21000379,Employment Domain (18-64 years) (Rank),241
N21000379,Proportion of the working age population who are employment deprived,605
N21000379,Health Deprivation and Disability Domain (Rank),332
N21000379,"Education, Skills and Training Domain (Rank)",464
N21000379,Access to Services Domain (Rank),285
N21000380,Multiple Deprivation Measure (Rank),262
N21000380,Income Domain (Rank),107
N21000380,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,729
N21000380,Employment Domain (18-64 years) (Rank),242
N21000380,Proportion of the working age population who are employment deprived,606
N21000380,Health Deprivation and Disability Domain (Rank),333
N21000380,"Education, Skills and Training Domain (Rank)",465
N21000380,Access to Services Domain (Rank),286
N21000381,Multiple Deprivation Measure (Rank),217
N21000381,Income Domain (Rank),82
N21000381,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,754
N21000381,Employment Domain (18-64 years) (Rank),208
N21000381,Proportion of the working age population who are employment deprived,626
N21000381,Health Deprivation and Disability Domain (Rank),301
N21000381,"Education, Skills and Training Domain (Rank)",447
N21000381,Access to Services Domain (Rank),273
N21000382,Multiple Deprivation Measure (Rank),267
N21000382,Income Domain (Rank),97
N21000382,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,709
N21000382,Employment Domain (18-64 years) (Rank),395
N21000382,Proportion of the working age population who are employment deprived,406
N21000382,Health Deprivation and Disability Domain (Rank),516
N21000382,"Education, Skills and Training Domain (Rank)",434
N21000382,Access to Services Domain (Rank),43
N21000383,Multiple Deprivation Measure (Rank),489
N21000383,Income Domain (Rank),351
N21000383,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,432
N21000383,Employment Domain (18-64 years) (Rank),553
N21000383,Proportion of the working age population who are employment deprived,248
N21000383,Health Deprivation and Disability Domain (Rank),672
N21000383,"Education, Skills and Training Domain (Rank)",752
N21000383,Access to Services Domain (Rank),32
N21000384,Multiple Deprivation Measure (Rank),492
N21000384,Income Domain (Rank),428
N21000384,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,398
N21000384,Employment Domain (18-64 years) (Rank),603
N21000384,Proportion of the working age population who are employment deprived,220
N21000384,Health Deprivation and Disability Domain (Rank),673
N21000384,"Education, Skills and Training Domain (Rank)",633
N21000384,Access to Services Domain (Rank),18
N21000385,Multiple Deprivation Measure (Rank),474
N21000385,Income Domain (Rank),363
N21000385,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,433
N21000385,Employment Domain (18-64 years) (Rank),506
N21000385,Proportion of the working age population who are employment deprived,287
N21000385,Health Deprivation and Disability Domain (Rank),647
N21000385,"Education, Skills and Training Domain (Rank)",711
N21000385,Access to Services Domain (Rank),42
N21000386,Multiple Deprivation Measure (Rank),437
N21000386,Income Domain (Rank),366
N21000386,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,513
N21000386,Employment Domain (18-64 years) (Rank),311
N21000386,Proportion of the working age population who are employment deprived,565
N21000386,Health Deprivation and Disability Domain (Rank),404
N21000386,"Education, Skills and Training Domain (Rank)",517
N21000386,Access to Services Domain (Rank),396
N21000387,Multiple Deprivation Measure (Rank),358
N21000387,Income Domain (Rank),373
N21000387,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,458
N21000387,Employment Domain (18-64 years) (Rank),245
N21000387,Proportion of the working age population who are employment deprived,608
N21000387,Health Deprivation and Disability Domain (Rank),290
N21000387,"Education, Skills and Training Domain (Rank)",297
N21000387,Access to Services Domain (Rank),538
N21000388,Multiple Deprivation Measure (Rank),304
N21000388,Income Domain (Rank),301
N21000388,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,583
N21000388,Employment Domain (18-64 years) (Rank),200
N21000388,Proportion of the working age population who are employment deprived,669
N21000388,Health Deprivation and Disability Domain (Rank),278
N21000388,"Education, Skills and Training Domain (Rank)",324
N21000388,Access to Services Domain (Rank),625
N21000389,Multiple Deprivation Measure (Rank),284
N21000389,Income Domain (Rank),324
N21000389,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,562
N21000389,Employment Domain (18-64 years) (Rank),191
N21000389,Proportion of the working age population who are employment deprived,674
N21000389,Health Deprivation and Disability Domain (Rank),210
N21000389,"Education, Skills and Training Domain (Rank)",249
N21000389,Access to Services Domain (Rank),614
N21000390,Multiple Deprivation Measure (Rank),303
N21000390,Income Domain (Rank),377
N21000390,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,499
N21000390,Employment Domain (18-64 years) (Rank),196
N21000390,Proportion of the working age population who are employment deprived,672
N21000390,Health Deprivation and Disability Domain (Rank),238
N21000390,"Education, Skills and Training Domain (Rank)",272
N21000390,Access to Services Domain (Rank),524
N21000391,Multiple Deprivation Measure (Rank),384
N21000391,Income Domain (Rank),500
N21000391,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,419
N21000391,Employment Domain (18-64 years) (Rank),198
N21000391,Proportion of the working age population who are employment deprived,667
N21000391,Health Deprivation and Disability Domain (Rank),244
N21000391,"Education, Skills and Training Domain (Rank)",350
N21000391,Access to Services Domain (Rank),634
N21000392,Multiple Deprivation Measure (Rank),539
N21000392,Income Domain (Rank),511
N21000392,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,315
N21000392,Employment Domain (18-64 years) (Rank),639
N21000392,Proportion of the working age population who are employment deprived,192
N21000392,Health Deprivation and Disability Domain (Rank),656
N21000392,"Education, Skills and Training Domain (Rank)",674
N21000392,Access to Services Domain (Rank),23
N21000393,Multiple Deprivation Measure (Rank),622
N21000393,Income Domain (Rank),660
N21000393,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,194
N21000393,Employment Domain (18-64 years) (Rank),675
N21000393,Proportion of the working age population who are employment deprived,163
N21000393,Health Deprivation and Disability Domain (Rank),686
N21000393,"Education, Skills and Training Domain (Rank)",679
N21000393,Access to Services Domain (Rank),45
N21000394,Multiple Deprivation Measure (Rank),528
N21000394,Income Domain (Rank),418
N21000394,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,407
N21000394,Employment Domain (18-64 years) (Rank),686
N21000394,Proportion of the working age population who are employment deprived,151
N21000394,Health Deprivation and Disability Domain (Rank),715
N21000394,"Education, Skills and Training Domain (Rank)",710
N21000394,Access to Services Domain (Rank),15
N21000395,Multiple Deprivation Measure (Rank),457
N21000395,Income Domain (Rank),354
N21000395,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,482
N21000395,Employment Domain (18-64 years) (Rank),485
N21000395,Proportion of the working age population who are employment deprived,365
N21000395,Health Deprivation and Disability Domain (Rank),567
N21000395,"Education, Skills and Training Domain (Rank)",493
N21000395,Access to Services Domain (Rank),150
N21000396,Multiple Deprivation Measure (Rank),419
N21000396,Income Domain (Rank),279
N21000396,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,550
N21000396,Employment Domain (18-64 years) (Rank),520
N21000396,Proportion of the working age population who are employment deprived,340
N21000396,Health Deprivation and Disability Domain (Rank),595
N21000396,"Education, Skills and Training Domain (Rank)",572
N21000396,Access to Services Domain (Rank),134
N21000397,Multiple Deprivation Measure (Rank),75
N21000397,Income Domain (Rank),109
N21000397,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,713
N21000397,Employment Domain (18-64 years) (Rank),52
N21000397,Proportion of the working age population who are employment deprived,795
N21000397,Health Deprivation and Disability Domain (Rank),63
N21000397,"Education, Skills and Training Domain (Rank)",154
N21000397,Access to Services Domain (Rank),797
N21000398,Multiple Deprivation Measure (Rank),69
N21000398,Income Domain (Rank),131
N21000398,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,803
N21000398,Employment Domain (18-64 years) (Rank),39
N21000398,Proportion of the working age population who are employment deprived,822
N21000398,Health Deprivation and Disability Domain (Rank),55
N21000398,"Education, Skills and Training Domain (Rank)",157
N21000398,Access to Services Domain (Rank),827
N21000399,Multiple Deprivation Measure (Rank),45
N21000399,Income Domain (Rank),53
N21000399,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,834
N21000399,Employment Domain (18-64 years) (Rank),20
N21000399,Proportion of the working age population who are employment deprived,848
N21000399,Health Deprivation and Disability Domain (Rank),39
N21000399,"Education, Skills and Training Domain (Rank)",141
N21000399,Access to Services Domain (Rank),834
N21000400,Multiple Deprivation Measure (Rank),27
N21000400,Income Domain (Rank),27
N21000400,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,815
N21000400,Employment Domain (18-64 years) (Rank),14
N21000400,Proportion of the working age population who are employment deprived,832
N21000400,Health Deprivation and Disability Domain (Rank),22
N21000400,"Education, Skills and Training Domain (Rank)",52
N21000400,Access to Services Domain (Rank),672
N21000401,Multiple Deprivation Measure (Rank),28
N21000401,Income Domain (Rank),35
N21000401,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,809
N21000401,Employment Domain (18-64 years) (Rank),12
N21000401,Proportion of the working age population who are employment deprived,833
N21000401,Health Deprivation and Disability Domain (Rank),21
N21000401,"Education, Skills and Training Domain (Rank)",58
N21000401,Access to Services Domain (Rank),642
N21000402,Multiple Deprivation Measure (Rank),20
N21000402,Income Domain (Rank),15
N21000402,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,840
N21000402,Employment Domain (18-64 years) (Rank),7
N21000402,Proportion of the working age population who are employment deprived,842
N21000402,Health Deprivation and Disability Domain (Rank),33
N21000402,"Education, Skills and Training Domain (Rank)",100
N21000402,Access to Services Domain (Rank),701
N21000403,Multiple Deprivation Measure (Rank),22
N21000403,Income Domain (Rank),12
N21000403,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,842
N21000403,Employment Domain (18-64 years) (Rank),17
N21000403,Proportion of the working age population who are employment deprived,841
N21000403,Health Deprivation and Disability Domain (Rank),45
N21000403,"Education, Skills and Training Domain (Rank)",115
N21000403,Access to Services Domain (Rank),763
N21000404,Multiple Deprivation Measure (Rank),42
N21000404,Income Domain (Rank),43
N21000404,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,798
N21000404,Employment Domain (18-64 years) (Rank),25
N21000404,Proportion of the working age population who are employment deprived,819
N21000404,Health Deprivation and Disability Domain (Rank),50
N21000404,"Education, Skills and Training Domain (Rank)",79
N21000404,Access to Services Domain (Rank),674
N21000405,Multiple Deprivation Measure (Rank),173
N21000405,Income Domain (Rank),230
N21000405,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,672
N21000405,Employment Domain (18-64 years) (Rank),97
N21000405,Proportion of the working age population who are employment deprived,760
N21000405,Health Deprivation and Disability Domain (Rank),104
N21000405,"Education, Skills and Training Domain (Rank)",270
N21000405,Access to Services Domain (Rank),365
N21000406,Multiple Deprivation Measure (Rank),558
N21000406,Income Domain (Rank),625
N21000406,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,219
N21000406,Employment Domain (18-64 years) (Rank),289
N21000406,Proportion of the working age population who are employment deprived,550
N21000406,Health Deprivation and Disability Domain (Rank),330
N21000406,"Education, Skills and Training Domain (Rank)",707
N21000406,Access to Services Domain (Rank),637
N21000407,Multiple Deprivation Measure (Rank),201
N21000407,Income Domain (Rank),219
N21000407,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,691
N21000407,Employment Domain (18-64 years) (Rank),138
N21000407,Proportion of the working age population who are employment deprived,744
N21000407,Health Deprivation and Disability Domain (Rank),153
N21000407,"Education, Skills and Training Domain (Rank)",257
N21000407,Access to Services Domain (Rank),371
N21000408,Multiple Deprivation Measure (Rank),164
N21000408,Income Domain (Rank),121
N21000408,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,790
N21000408,Employment Domain (18-64 years) (Rank),156
N21000408,Proportion of the working age population who are employment deprived,703
N21000408,Health Deprivation and Disability Domain (Rank),205
N21000408,"Education, Skills and Training Domain (Rank)",394
N21000408,Access to Services Domain (Rank),789
N21000409,Multiple Deprivation Measure (Rank),507
N21000409,Income Domain (Rank),578
N21000409,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,258
N21000409,Employment Domain (18-64 years) (Rank),263
N21000409,Proportion of the working age population who are employment deprived,578
N21000409,Health Deprivation and Disability Domain (Rank),318
N21000409,"Education, Skills and Training Domain (Rank)",575
N21000409,Access to Services Domain (Rank),411
N21000410,Multiple Deprivation Measure (Rank),92
N21000410,Income Domain (Rank),108
N21000410,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,819
N21000410,Employment Domain (18-64 years) (Rank),77
N21000410,Proportion of the working age population who are employment deprived,790
N21000410,Health Deprivation and Disability Domain (Rank),110
N21000410,"Education, Skills and Training Domain (Rank)",318
N21000410,Access to Services Domain (Rank),846
N21000411,Multiple Deprivation Measure (Rank),133
N21000411,Income Domain (Rank),194
N21000411,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,719
N21000411,Employment Domain (18-64 years) (Rank),82
N21000411,Proportion of the working age population who are employment deprived,759
N21000411,Health Deprivation and Disability Domain (Rank),120
N21000411,"Education, Skills and Training Domain (Rank)",338
N21000411,Access to Services Domain (Rank),804
N21000412,Multiple Deprivation Measure (Rank),564
N21000412,Income Domain (Rank),553
N21000412,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,330
N21000412,Employment Domain (18-64 years) (Rank),440
N21000412,Proportion of the working age population who are employment deprived,427
N21000412,Health Deprivation and Disability Domain (Rank),451
N21000412,"Education, Skills and Training Domain (Rank)",699
N21000412,Access to Services Domain (Rank),201
N21000413,Multiple Deprivation Measure (Rank),32
N21000413,Income Domain (Rank),49
N21000413,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,805
N21000413,Employment Domain (18-64 years) (Rank),40
N21000413,Proportion of the working age population who are employment deprived,812
N21000413,Health Deprivation and Disability Domain (Rank),48
N21000413,"Education, Skills and Training Domain (Rank)",76
N21000413,Access to Services Domain (Rank),347
N21000414,Multiple Deprivation Measure (Rank),565
N21000414,Income Domain (Rank),554
N21000414,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,331
N21000414,Employment Domain (18-64 years) (Rank),441
N21000414,Proportion of the working age population who are employment deprived,428
N21000414,Health Deprivation and Disability Domain (Rank),452
N21000414,"Education, Skills and Training Domain (Rank)",700
N21000414,Access to Services Domain (Rank),202
N21000415,Multiple Deprivation Measure (Rank),159
N21000415,Income Domain (Rank),205
N21000415,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,695
N21000415,Employment Domain (18-64 years) (Rank),136
N21000415,Proportion of the working age population who are employment deprived,765
N21000415,Health Deprivation and Disability Domain (Rank),148
N21000415,"Education, Skills and Training Domain (Rank)",279
N21000415,Access to Services Domain (Rank),353
N21000416,Multiple Deprivation Measure (Rank),51
N21000416,Income Domain (Rank),93
N21000416,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,768
N21000416,Employment Domain (18-64 years) (Rank),46
N21000416,Proportion of the working age population who are employment deprived,807
N21000416,Health Deprivation and Disability Domain (Rank),53
N21000416,"Education, Skills and Training Domain (Rank)",109
N21000416,Access to Services Domain (Rank),388
N21000417,Multiple Deprivation Measure (Rank),25
N21000417,Income Domain (Rank),55
N21000417,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,806
N21000417,Employment Domain (18-64 years) (Rank),23
N21000417,Proportion of the working age population who are employment deprived,826
N21000417,Health Deprivation and Disability Domain (Rank),31
N21000417,"Education, Skills and Training Domain (Rank)",67
N21000417,Access to Services Domain (Rank),514
N21000418,Multiple Deprivation Measure (Rank),34
N21000418,Income Domain (Rank),59
N21000418,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,793
N21000418,Employment Domain (18-64 years) (Rank),30
N21000418,Proportion of the working age population who are employment deprived,813
N21000418,Health Deprivation and Disability Domain (Rank),36
N21000418,"Education, Skills and Training Domain (Rank)",95
N21000418,Access to Services Domain (Rank),445
N21000419,Multiple Deprivation Measure (Rank),434
N21000419,Income Domain (Rank),434
N21000419,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,453
N21000419,Employment Domain (18-64 years) (Rank),316
N21000419,Proportion of the working age population who are employment deprived,636
N21000419,Health Deprivation and Disability Domain (Rank),345
N21000419,"Education, Skills and Training Domain (Rank)",583
N21000419,Access to Services Domain (Rank),413
N21000420,Multiple Deprivation Measure (Rank),172
N21000420,Income Domain (Rank),251
N21000420,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,584
N21000420,Employment Domain (18-64 years) (Rank),108
N21000420,Proportion of the working age population who are employment deprived,751
N21000420,Health Deprivation and Disability Domain (Rank),121
N21000420,"Education, Skills and Training Domain (Rank)",276
N21000420,Access to Services Domain (Rank),358
N21000421,Multiple Deprivation Measure (Rank),204
N21000421,Income Domain (Rank),193
N21000421,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,688
N21000421,Employment Domain (18-64 years) (Rank),133
N21000421,Proportion of the working age population who are employment deprived,752
N21000421,Health Deprivation and Disability Domain (Rank),154
N21000421,"Education, Skills and Training Domain (Rank)",333
N21000421,Access to Services Domain (Rank),598
N21000422,Multiple Deprivation Measure (Rank),168
N21000422,Income Domain (Rank),272
N21000422,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,570
N21000422,Employment Domain (18-64 years) (Rank),73
N21000422,Proportion of the working age population who are employment deprived,775
N21000422,Health Deprivation and Disability Domain (Rank),100
N21000422,"Education, Skills and Training Domain (Rank)",300
N21000422,Access to Services Domain (Rank),686
N21000423,Multiple Deprivation Measure (Rank),302
N21000423,Income Domain (Rank),320
N21000423,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,525
N21000423,Employment Domain (18-64 years) (Rank),209
N21000423,Proportion of the working age population who are employment deprived,646
N21000423,Health Deprivation and Disability Domain (Rank),232
N21000423,"Education, Skills and Training Domain (Rank)",268
N21000423,Access to Services Domain (Rank),629
N21000424,Multiple Deprivation Measure (Rank),371
N21000424,Income Domain (Rank),402
N21000424,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,468
N21000424,Employment Domain (18-64 years) (Rank),201
N21000424,Proportion of the working age population who are employment deprived,637
N21000424,Health Deprivation and Disability Domain (Rank),241
N21000424,"Education, Skills and Training Domain (Rank)",317
N21000424,Access to Services Domain (Rank),608
N21000425,Multiple Deprivation Measure (Rank),342
N21000425,Income Domain (Rank),416
N21000425,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,459
N21000425,Employment Domain (18-64 years) (Rank),184
N21000425,Proportion of the working age population who are employment deprived,644
N21000425,Health Deprivation and Disability Domain (Rank),214
N21000425,"Education, Skills and Training Domain (Rank)",273
N21000425,Access to Services Domain (Rank),640
N21000426,Multiple Deprivation Measure (Rank),469
N21000426,Income Domain (Rank),516
N21000426,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,310
N21000426,Employment Domain (18-64 years) (Rank),256
N21000426,Proportion of the working age population who are employment deprived,572
N21000426,Health Deprivation and Disability Domain (Rank),274
N21000426,"Education, Skills and Training Domain (Rank)",357
N21000426,Access to Services Domain (Rank),693
N21000427,Multiple Deprivation Measure (Rank),120
N21000427,Income Domain (Rank),66
N21000427,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,785
N21000427,Employment Domain (18-64 years) (Rank),101
N21000427,Proportion of the working age population who are employment deprived,755
N21000427,Health Deprivation and Disability Domain (Rank),125
N21000427,"Education, Skills and Training Domain (Rank)",173
N21000427,Access to Services Domain (Rank),825
N21000428,Multiple Deprivation Measure (Rank),512
N21000428,Income Domain (Rank),487
N21000428,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,332
N21000428,Employment Domain (18-64 years) (Rank),307
N21000428,Proportion of the working age population who are employment deprived,503
N21000428,Health Deprivation and Disability Domain (Rank),321
N21000428,"Education, Skills and Training Domain (Rank)",448
N21000428,Access to Services Domain (Rank),738
N21000429,Multiple Deprivation Measure (Rank),163
N21000429,Income Domain (Rank),206
N21000429,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,733
N21000429,Employment Domain (18-64 years) (Rank),117
N21000429,Proportion of the working age population who are employment deprived,742
N21000429,Health Deprivation and Disability Domain (Rank),131
N21000429,"Education, Skills and Training Domain (Rank)",201
N21000429,Access to Services Domain (Rank),835
N21000430,Multiple Deprivation Measure (Rank),610
N21000430,Income Domain (Rank),642
N21000430,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,188
N21000430,Employment Domain (18-64 years) (Rank),444
N21000430,Proportion of the working age population who are employment deprived,388
N21000430,Health Deprivation and Disability Domain (Rank),427
N21000430,"Education, Skills and Training Domain (Rank)",577
N21000430,Access to Services Domain (Rank),681
N21000431,Multiple Deprivation Measure (Rank),350
N21000431,Income Domain (Rank),600
N21000431,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,300
N21000431,Employment Domain (18-64 years) (Rank),232
N21000431,Proportion of the working age population who are employment deprived,664
N21000431,Health Deprivation and Disability Domain (Rank),235
N21000431,"Education, Skills and Training Domain (Rank)",353
N21000431,Access to Services Domain (Rank),669
N21000432,Multiple Deprivation Measure (Rank),467
N21000432,Income Domain (Rank),425
N21000432,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,399
N21000432,Employment Domain (18-64 years) (Rank),373
N21000432,Proportion of the working age population who are employment deprived,536
N21000432,Health Deprivation and Disability Domain (Rank),390
N21000432,"Education, Skills and Training Domain (Rank)",441
N21000432,Access to Services Domain (Rank),397
N21000433,Multiple Deprivation Measure (Rank),46
N21000433,Income Domain (Rank),60
N21000433,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,811
N21000433,Employment Domain (18-64 years) (Rank),38
N21000433,Proportion of the working age population who are employment deprived,814
N21000433,Health Deprivation and Disability Domain (Rank),60
N21000433,"Education, Skills and Training Domain (Rank)",145
N21000433,Access to Services Domain (Rank),727
N21000434,Multiple Deprivation Measure (Rank),122
N21000434,Income Domain (Rank),312
N21000434,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,633
N21000434,Employment Domain (18-64 years) (Rank),80
N21000434,Proportion of the working age population who are employment deprived,777
N21000434,Health Deprivation and Disability Domain (Rank),101
N21000434,"Education, Skills and Training Domain (Rank)",180
N21000434,Access to Services Domain (Rank),708
N21000435,Multiple Deprivation Measure (Rank),456
N21000435,Income Domain (Rank),539
N21000435,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,284
N21000435,Employment Domain (18-64 years) (Rank),335
N21000435,Proportion of the working age population who are employment deprived,575
N21000435,Health Deprivation and Disability Domain (Rank),364
N21000435,"Education, Skills and Training Domain (Rank)",438
N21000435,Access to Services Domain (Rank),394
N21000436,Multiple Deprivation Measure (Rank),639
N21000436,Income Domain (Rank),618
N21000436,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,255
N21000436,Employment Domain (18-64 years) (Rank),554
N21000436,Proportion of the working age population who are employment deprived,311
N21000436,Health Deprivation and Disability Domain (Rank),596
N21000436,"Education, Skills and Training Domain (Rank)",764
N21000436,Access to Services Domain (Rank),215
N21000437,Multiple Deprivation Measure (Rank),496
N21000437,Income Domain (Rank),360
N21000437,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,469
N21000437,Employment Domain (18-64 years) (Rank),438
N21000437,Proportion of the working age population who are employment deprived,383
N21000437,Health Deprivation and Disability Domain (Rank),494
N21000437,"Education, Skills and Training Domain (Rank)",718
N21000437,Access to Services Domain (Rank),136
N21000438,Multiple Deprivation Measure (Rank),497
N21000438,Income Domain (Rank),361
N21000438,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,470
N21000438,Employment Domain (18-64 years) (Rank),439
N21000438,Proportion of the working age population who are employment deprived,384
N21000438,Health Deprivation and Disability Domain (Rank),495
N21000438,"Education, Skills and Training Domain (Rank)",719
N21000438,Access to Services Domain (Rank),137
N21000439,Multiple Deprivation Measure (Rank),381
N21000439,Income Domain (Rank),245
N21000439,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,634
N21000439,Employment Domain (18-64 years) (Rank),321
N21000439,Proportion of the working age population who are employment deprived,516
N21000439,Health Deprivation and Disability Domain (Rank),348
N21000439,"Education, Skills and Training Domain (Rank)",560
N21000439,Access to Services Domain (Rank),224
N21000440,Multiple Deprivation Measure (Rank),373
N21000440,Income Domain (Rank),266
N21000440,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,543
N21000440,Employment Domain (18-64 years) (Rank),359
N21000440,Proportion of the working age population who are employment deprived,498
N21000440,Health Deprivation and Disability Domain (Rank),413
N21000440,"Education, Skills and Training Domain (Rank)",503
N21000440,Access to Services Domain (Rank),200
N21000441,Multiple Deprivation Measure (Rank),475
N21000441,Income Domain (Rank),427
N21000441,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,460
N21000441,Employment Domain (18-64 years) (Rank),394
N21000441,Proportion of the working age population who are employment deprived,467
N21000441,Health Deprivation and Disability Domain (Rank),472
N21000441,"Education, Skills and Training Domain (Rank)",544
N21000441,Access to Services Domain (Rank),199
N21000442,Multiple Deprivation Measure (Rank),532
N21000442,Income Domain (Rank),498
N21000442,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,333
N21000442,Employment Domain (18-64 years) (Rank),452
N21000442,Proportion of the working age population who are employment deprived,378
N21000442,Health Deprivation and Disability Domain (Rank),536
N21000442,"Education, Skills and Training Domain (Rank)",614
N21000442,Access to Services Domain (Rank),164
N21000443,Multiple Deprivation Measure (Rank),259
N21000443,Income Domain (Rank),226
N21000443,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,585
N21000443,Employment Domain (18-64 years) (Rank),340
N21000443,Proportion of the working age population who are employment deprived,440
N21000443,Health Deprivation and Disability Domain (Rank),409
N21000443,"Education, Skills and Training Domain (Rank)",535
N21000443,Access to Services Domain (Rank),34
N21000444,Multiple Deprivation Measure (Rank),252
N21000444,Income Domain (Rank),162
N21000444,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,673
N21000444,Employment Domain (18-64 years) (Rank),355
N21000444,Proportion of the working age population who are employment deprived,433
N21000444,Health Deprivation and Disability Domain (Rank),444
N21000444,"Education, Skills and Training Domain (Rank)",528
N21000444,Access to Services Domain (Rank),49
N21000445,Multiple Deprivation Measure (Rank),249
N21000445,Income Domain (Rank),132
N21000445,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,653
N21000445,Employment Domain (18-64 years) (Rank),318
N21000445,Proportion of the working age population who are employment deprived,483
N21000445,Health Deprivation and Disability Domain (Rank),392
N21000445,"Education, Skills and Training Domain (Rank)",352
N21000445,Access to Services Domain (Rank),55
N21000446,Multiple Deprivation Measure (Rank),155
N21000446,Income Domain (Rank),72
N21000446,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,769
N21000446,Employment Domain (18-64 years) (Rank),190
N21000446,Proportion of the working age population who are employment deprived,680
N21000446,Health Deprivation and Disability Domain (Rank),279
N21000446,"Education, Skills and Training Domain (Rank)",200
N21000446,Access to Services Domain (Rank),155
N21000447,Multiple Deprivation Measure (Rank),36
N21000447,Income Domain (Rank),14
N21000447,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,839
N21000447,Employment Domain (18-64 years) (Rank),33
N21000447,Proportion of the working age population who are employment deprived,829
N21000447,Health Deprivation and Disability Domain (Rank),69
N21000447,"Education, Skills and Training Domain (Rank)",65
N21000447,Access to Services Domain (Rank),529
